Observation, Year, Month, Day, Date, Latitude, Longitude, Zonal Winds, Meridional Winds, Humidity, Air Temp, Sea Surface Temp
68,80,9,24,800924,0,-109.56,-4.5,3.3,.,22.58,23.77
69,80,9,25,800925,0,-109.56,-3.3,2.7,.,22.32,22.87
70,80,9,26,800926,0,-109.56,-2.6,3.7,.,21.81,22.05
71,80,9,27,800927,0,-109.56,-4.3,1.3,.,21.91,21.81
72,80,9,28,800928,0,-109.56,-4,1.3,.,21.81,21.71
73,80,9,29,800929,0,-109.56,-4,1.8,.,21.96,22.07
74,80,9,30,800930,0,-109.56,-4.9,2.3,.,22.05,22.38
75,80,10,1,801001,0,-109.56,-4.4,3.4,.,22.45,22.44
76,80,10,2,801002,0,-109.56,-4.8,4.2,.,22.32,22.16
77,80,10,3,801003,0,-109.56,-5.8,4,.,21.94,21.88
78,80,10,4,801004,0,-109.56,-4.1,2.5,.,21.53,21.66
79,80,10,5,801005,0,-109.56,-3.2,2.4,.,21.28,21.42
80,80,10,6,801006,0,-109.56,-3.2,3.2,.,21.12,21.17
81,80,10,7,801007,0,-109.56,-2.2,2.8,.,21.08,21.2
82,80,10,8,801008,0,-109.56,-2.7,2.7,.,21.02,20.97
83,80,10,9,801009,0,-109.56,-3.7,2.2,.,20.65,20.71
84,80,10,10,801010,0,-109.56,-3.5,1.1,.,20.71,20.74
85,80,10,11,801011,0,-109.56,-4.2,1.2,.,20.54,20.72
86,80,10,12,801012,0,-109.56,-2.8,-0.3,.,20.45,20.51
87,80,10,13,801013,0,-109.56,-3.7,0.1,.,20.52,20.71
88,80,10,14,801014,0,-109.56,-2.9,0.4,.,20.42,20.52
89,80,10,15,801015,0,-109.56,-1.5,-0.4,.,20.73,20.62
90,80,10,16,801016,0,-109.56,-2.3,1.6,.,20.62,20.47
91,80,10,17,801017,0,-109.56,-2.1,0.1,.,20.84,20.59
92,80,10,18,801018,0,-109.56,-2,1.3,.,20.92,20.73
93,80,10,19,801019,0,-109.56,-2.6,0.9,.,21.23,21.07
94,80,10,20,801020,0,-109.56,-3.8,0.1,.,21.19,21.08
95,80,10,21,801021,0,-109.56,-5.3,1.9,.,21.2,21.18
96,80,10,22,801022,0,-109.56,-4.9,3,.,21.45,21.36
97,80,10,23,801023,0,-109.56,-5.3,2.3,.,21.5,21.46
98,80,10,24,801024,0,-109.56,-5.1,3.6,.,21.8,21.6
99,80,10,25,801025,0,-109.56,-3.4,2.7,.,21.87,21.78
100,80,10,26,801026,0,-109.56,-6.3,2.2,.,21.6,21.84
101,80,10,27,801027,0,-109.56,-7.2,3.2,.,21.52,21.73
102,80,10,28,801028,0,-109.56,-5.4,3.8,.,21.72,21.75
103,80,10,29,801029,0,-109.56,-4.5,3.4,.,21.61,21.74
104,80,10,30,801030,0,-109.56,-4.8,3.8,.,21.73,21.8
105,80,10,31,801031,0,-109.56,-4.9,4,.,22.07,22.26
106,80,11,1,801101,0,-109.56,-5.4,4.8,.,22.18,22.92
107,80,11,2,801102,0,-109.56,-5.3,4.5,.,22.64,23.24
108,80,11,3,801103,0,-109.56,-5.5,3.6,.,22.65,23.62
109,80,11,4,801104,0,-109.56,-5.4,3.5,.,22.77,23.88
110,80,11,5,801105,0,-109.56,-4.5,4.5,.,22.68,24.22
111,80,11,6,801106,0,-109.56,-4.9,4.3,.,23.41,24.53
112,80,11,7,801107,0,-109.56,-5.9,3,.,23.32,24.58
113,80,11,8,801108,0,-109.56,-5.5,3.7,.,23.04,24.59
114,80,11,9,801109,0,-109.56,-5.8,4.8,.,23.03,24.5
115,80,11,10,801110,0,-109.56,-5.8,4.9,.,22.84,24.23
116,80,11,11,801111,0,-109.56,-3.7,4.4,.,22.37,23.11
117,80,11,12,801112,0,-109.56,-3.4,3.7,.,22.18,22.08
118,80,11,13,801113,0,-109.56,-4.2,4.2,.,22.31,22.4
119,80,11,14,801114,0,-109.56,-4.4,4.2,.,22.74,22.6
120,80,11,15,801115,0,-109.56,-5.2,3.9,.,22.8,22.8
121,80,11,16,801116,0,-109.56,-5,3.1,.,22.9,22.91
122,80,11,17,801117,0,-109.56,-5.5,4.9,.,22.64,22.73
123,80,11,18,801118,0,-109.56,-6.1,4.1,.,22.54,22.57
124,80,11,19,801119,0,-109.56,-6,3.6,.,22.57,22.56
125,80,11,20,801120,0,-109.56,-3.3,5.5,.,22.51,22.41
126,80,11,21,801121,0,-109.56,-2.6,4.2,.,22.46,22.53
127,80,11,22,801122,0,-109.56,-4.7,3.4,.,22.67,22.7
128,80,11,23,801123,0,-109.56,-5.8,4.3,.,22.76,22.81
129,80,11,24,801124,0,-109.56,-5.9,3.1,.,23.22,23.09
130,80,11,25,801125,0,-109.56,-5.8,2.7,.,23.64,23.62
131,80,11,26,801126,0,-109.56,-6.2,4.7,.,23.68,24.54
132,80,11,27,801127,0,-109.56,-5,5,.,23.55,25.09
133,80,11,28,801128,0,-109.56,-4.9,4.9,.,23.32,24.7
134,80,11,29,801129,0,-109.56,-4.5,4.3,.,22.96,23.64
135,80,11,30,801130,0,-109.56,-1.5,4.7,.,22.44,22.17
136,80,12,1,801201,0,-109.56,-2.8,4.2,.,22.09,22.02
137,80,12,2,801202,0,-109.56,-1.7,5.4,.,22.47,22.2
138,80,12,3,801203,0,-109.56,-3,4.8,.,22.73,22.39
139,80,12,4,801204,0,-109.56,-4,3.6,.,22.62,22.55
140,80,12,5,801205,0,-109.56,-3.1,4.1,.,22.91,22.66
141,80,12,6,801206,0,-109.56,-4.2,5.2,.,22.85,22.69
142,80,12,7,801207,0,-109.56,-3.2,2.6,.,22.97,22.81
143,80,12,8,801208,0,-109.56,-3.8,3.2,.,22.98,23
144,80,12,9,801209,0,-109.56,-5.9,3.9,.,22.84,22.9
145,80,12,10,801210,0,-109.56,-4.7,2.7,.,22.86,22.86
146,80,12,11,801211,0,-109.56,-3.3,3.8,.,23.1,23.16
147,80,12,12,801212,0,-109.56,-4.3,4.3,.,23.25,23.16
148,80,12,13,801213,0,-109.56,-3.8,4.3,.,23.15,23.32
149,80,12,14,801214,0,-109.56,-3.7,4,.,23.23,23.86
150,80,12,15,801215,0,-109.56,-4.6,2.9,.,23.96,24.86
151,80,12,16,801216,0,-109.56,-5.4,5.1,.,24.53,25.72
152,80,12,17,801217,0,-109.56,-4.4,6.3,.,24.45,25.25
153,80,12,18,801218,0,-109.56,-5,3.9,.,24.1,25.16
154,80,12,19,801219,0,-109.56,-4.9,3.7,.,23.72,24.65
155,80,12,20,801220,0,-109.56,-4.3,5,.,23.53,23.52
156,80,12,21,801221,0,-109.56,-3.3,5.4,.,23.15,23.03
157,80,12,22,801222,0,-109.56,-3.3,2.4,.,23.22,23.13
158,80,12,23,801223,0,-109.56,-3.6,3,.,23.21,23.35
159,80,12,24,801224,0,-109.56,-5.9,2.3,.,23.46,23.43
160,80,12,25,801225,0,-109.56,-5.2,1.4,.,23.17,23.26
161,80,12,26,801226,0,-109.56,-5.6,3.6,.,23.33,23.15
162,80,12,27,801227,0,-109.56,-3.9,2.3,.,23.19,22.92
163,80,12,28,801228,0,-109.56,-5.1,1.2,.,22.94,22.87
164,80,12,29,801229,0,-109.56,-4.4,1.6,.,22.71,22.78
165,80,12,30,801230,0,-109.56,-3.7,3.8,.,22.77,22.69
166,80,12,31,801231,0,-109.56,-4.1,3.9,.,22.9,22.68
167,81,1,1,810101,0,-109.56,-6.3,3.5,.,22.63,22.58
168,81,1,2,810102,0,-109.56,-7.9,2.7,.,22.55,22.47
169,81,1,3,810103,0,-109.56,-6.1,2.9,.,22.35,22.39
170,81,1,4,810104,0,-109.56,-3.2,2.4,.,22.62,22.52
171,81,1,5,810105,0,-109.56,-2.2,2.4,.,22.77,22.69
172,81,1,6,810106,0,-109.56,-2.3,2.5,.,22.87,22.6
173,81,1,7,810107,0,-109.56,-2.3,3.1,.,22.63,22.42
174,81,1,8,810108,0,-109.56,-4,3,.,22.38,22.27
175,81,1,9,810109,0,-109.56,-2.3,3,.,22.57,22.39
176,81,1,10,810110,0,-109.56,-2.5,3.2,.,22.8,22.56
177,81,1,11,810111,0,-109.56,-3,2.2,.,22.75,22.47
178,81,1,12,810112,0,-109.56,-3.2,3.5,.,22.68,22.44
179,81,1,13,810113,0,-109.56,-2.3,3.5,.,22.7,22.41
180,81,1,14,810114,0,-109.56,-2.9,4.5,.,22.53,22.28
181,81,1,15,810115,0,-109.56,-1.3,2.6,.,22.79,22.58
182,81,1,16,810116,0,-109.56,-2,2.3,.,23.04,23
183,81,1,17,810117,0,-109.56,-2.3,2.7,.,22.96,22.92
184,81,1,18,810118,0,-109.56,-2.1,1.2,.,23.05,22.92
185,81,1,19,810119,0,-109.56,-3.7,2.1,.,23.07,22.88
186,81,1,20,810120,0,-109.56,-2.8,3.3,.,22.92,22.81
187,81,1,21,810121,0,-109.56,-4.6,1.3,.,22.86,22.83
188,81,1,22,810122,0,-109.56,-5.2,1.9,.,22.81,22.95
189,81,1,23,810123,0,-109.56,-4.4,2.1,.,22.8,23.05
190,81,1,24,810124,0,-109.56,-3.9,3,.,22.74,23.12
191,81,1,25,810125,0,-109.56,-4.3,3.7,.,22.75,23.02
192,81,1,26,810126,0,-109.56,-3.2,2.8,.,22.58,22.57
193,81,1,27,810127,0,-109.56,-1.7,1.4,.,22.92,22.96
194,81,1,28,810128,0,-109.56,-1.2,2.3,.,23.09,23.13
195,81,1,29,810129,0,-109.56,-1.9,3,.,23.25,23.12
196,81,1,30,810130,0,-109.56,-3.4,3.2,.,23.17,22.97
197,81,1,31,810131,0,-109.56,-2.3,2.5,.,23.23,23.15
198,81,2,1,810201,0,-109.56,-2.7,2.8,.,23.29,23.07
199,81,2,2,810202,0,-109.56,-4.2,2,.,23.24,23.09
200,81,2,3,810203,0,-109.56,-3.9,2.8,.,23.19,23.11
201,81,2,4,810204,0,-109.56,-3.2,2.8,.,23.2,23.12
202,81,2,5,810205,0,-109.56,-1.3,1.6,.,22.92,23.2
203,81,2,6,810206,0,-109.56,-1.1,2.6,.,23.52,24.19
204,81,2,7,810207,0.01,-109.56,-2.3,4.4,.,24.42,25.33
205,81,2,8,810208,0.01,-109.56,-4.6,4.2,.,24.71,25.73
206,81,2,9,810209,0.01,-109.56,-5.9,2.7,.,24.97,25.81
207,81,2,10,810210,0.01,-109.56,-5.5,2.4,.,24.81,25.69
208,81,2,11,810211,0.01,-109.56,-3.3,3.2,.,24.53,25.59
209,81,2,12,810212,0.01,-109.56,-4.5,3,.,24.5,25.32
210,81,2,13,810213,0.01,-109.56,-5.1,2.2,.,24.31,24.65
211,81,2,14,810214,0.01,-109.56,-4.5,1.1,.,23.65,23.83
212,81,2,15,810215,0.01,-109.56,-2.7,2.4,.,23.52,23.69
213,81,2,16,810216,0.01,-109.56,-2.9,3.4,.,23.57,23.37
214,81,2,17,810217,0.01,-109.56,-1.8,1.6,.,23.52,23.38
215,81,2,18,810218,0.01,-109.56,-1,2.1,.,23.85,23.67
216,81,2,19,810219,0.01,-109.56,-3.4,2,.,23.56,23.61
217,81,2,20,810220,0.01,-109.56,-3.3,2.6,.,23.86,23.65
218,81,2,21,810221,0.01,-109.56,-3.9,1.5,.,23.91,23.87
219,81,2,22,810222,0.01,-109.56,-3.9,1.4,.,23.71,23.95
220,81,2,23,810223,0.01,-109.56,-2.6,2.2,.,23.94,23.96
221,81,2,24,810224,0.01,-109.56,-3.2,1.4,.,24.05,24.14
222,81,2,25,810225,0.01,-109.56,-4.4,1.8,.,23.93,23.87
223,81,2,26,810226,0.01,-109.56,-3.5,1.5,.,24.01,24
224,81,2,27,810227,0.01,-109.56,-3.1,1.8,.,24.04,24.1
225,81,2,28,810228,0.01,-109.56,-3.5,2,.,24.14,24
226,81,3,1,810301,0.01,-109.56,-2.8,1.8,.,24.09,24.38
227,81,3,2,810302,0.01,-109.56,-1.7,2.2,.,24.62,24.65
228,81,3,3,810303,0.01,-109.56,-1.7,2.6,.,24.09,23.78
229,81,3,4,810304,0.01,-109.56,-0.9,0.9,.,23.98,23.83
230,81,3,5,810305,0.01,-109.56,-1.4,1.7,.,24.1,23.43
231,81,3,6,810306,0.01,-109.56,-0.5,2.4,.,24.27,24.32
232,81,3,7,810307,0.01,-109.56,-0.2,0.8,.,24.76,24.59
233,81,3,8,810308,0.01,-109.56,-0.1,2.6,.,25.1,25.05
234,81,3,9,810309,0.01,-109.56,-0.3,2.5,.,24.59,24.37
235,81,3,10,810310,0.01,-109.56,-1,2,.,24.43,24.38
236,81,3,11,810311,0.01,-109.56,-0.8,1.2,.,24.47,24.4
237,81,3,12,810312,0.01,-109.56,1.1,2.6,.,24.51,24.37
238,81,3,13,810313,0.01,-109.56,0.6,3,.,24.58,24.54
239,81,3,14,810314,0.01,-109.56,0.6,3.2,.,24.8,24.8
240,81,3,15,810315,0.01,-109.56,-0.7,3.3,.,25.06,25.16
241,81,3,16,810316,0.01,-109.56,0.5,2,.,25.28,26.29
242,81,3,17,810317,0.01,-109.56,-0.6,2.7,.,26.14,27.28
243,81,3,18,810318,0.01,-109.56,0.9,3.4,.,26.44,26.97
244,81,3,19,810319,0.01,-109.56,-2,2.7,.,25.78,26.86
245,81,3,20,810320,0.01,-109.56,-0.4,1.6,.,25.66,27.53
246,81,3,21,810321,0.01,-109.56,0.8,2.5,.,25.86,27.71
247,81,3,22,810322,0.01,-109.56,2.8,1.3,.,25.78,27.64
248,81,3,23,810323,0.01,-109.56,0.2,5.3,.,26.56,27.54
249,81,3,24,810324,0.01,-109.56,-3.6,4.4,.,27.2,27.45
250,81,3,25,810325,0.01,-109.56,-2.9,1.1,.,26.71,27.46
251,81,3,26,810326,0.01,-109.56,-5.2,0.9,.,26.9,27.41
252,81,3,27,810327,0.01,-109.56,-5.1,1.1,.,26.59,27.08
253,81,3,28,810328,0.01,-109.56,-4.4,0.9,.,26.35,26.91
254,81,3,29,810329,0.01,-109.56,-3.3,1.8,.,26.08,26.62
255,81,3,30,810330,0.01,-109.56,-3.9,3.2,.,25.98,.
256,81,3,31,810331,0.01,-109.56,-3,4.5,.,25.93,.
257,81,4,1,810401,0.01,-109.56,-2.2,2.2,.,25.67,.
258,81,4,2,810402,0.01,-109.56,-3.6,1.3,.,25.6,.
259,81,4,3,810403,0.01,-109.56,-3,1.9,.,25.4,.
260,81,4,4,810404,0.01,-109.56,-3.4,1.3,.,25.48,.
261,81,4,5,810405,0.01,-109.56,-3.9,0.3,.,25.48,.
262,81,4,6,810406,0.01,-109.56,-3,0.4,.,25.58,.
263,81,4,7,810407,0.01,-109.56,-2.1,0.9,.,25.55,.
264,81,4,8,810408,0.01,-109.56,-3.5,2.4,.,25.21,.
265,81,4,9,810409,0.01,-109.56,-3.8,2.4,.,25.45,.
266,81,4,10,810410,0.01,-109.56,-2.8,0.6,.,25.69,.
267,81,4,11,810411,0.01,-109.56,-3.8,0.5,.,25.44,.
268,81,4,12,810412,0.01,-109.56,-2.4,1.8,.,25.78,.
269,81,4,13,810413,0.01,-109.56,-2.9,2,.,25.46,.
270,81,4,14,810414,0.01,-109.56,-2.8,-0.9,.,25.44,.
271,81,4,15,810415,0.01,-109.56,-2.8,0.6,.,25.41,.
272,81,4,16,810416,0.01,-109.56,-3,0.3,.,25.54,.
273,81,4,17,810417,0.01,-109.56,-2.1,1.1,.,25.67,.
274,81,4,18,810418,0.01,-109.56,-2.1,2.8,.,25.77,.
275,81,4,19,810419,0.01,-109.56,-2.3,3.3,.,25.97,.
276,81,4,20,810420,0.01,-109.56,-4,0.9,.,25.83,.
277,81,4,21,810421,0.01,-109.56,-3.7,1.6,.,25.97,.
278,81,4,22,810422,0.01,-109.56,-4.4,3.2,.,26.28,.
279,81,4,23,810423,0.01,-109.56,-6.1,3.2,.,26.37,.
280,81,4,24,810424,0.01,-109.56,-6.2,3.1,.,26.2,.
281,81,4,25,810425,0.01,-109.56,-4.8,2,.,25.89,.
282,81,4,26,810426,0.01,-109.56,-4.8,2.8,.,25.86,.
283,81,4,27,810427,0.01,-109.56,-5.2,1.3,.,25.63,.
284,81,4,28,810428,0.01,-109.56,-3.1,2.3,.,25.13,.
285,81,4,29,810429,0.01,-109.56,-0.6,3.5,.,25.53,.
286,81,4,30,810430,0.01,-109.56,-0.9,4,.,25.67,.
287,81,5,1,810501,0.01,-109.56,-1,3.9,.,25.48,.
288,81,5,2,810502,0.01,-109.56,-1.6,4,.,25.63,.
289,81,5,3,810503,0.01,-109.56,-2.3,3.9,.,25.68,.
290,81,5,4,810504,0.01,-109.56,-3.2,5.1,.,25.5,.
291,81,5,5,810505,0.01,-109.56,-4.5,4.8,.,25.68,.
292,81,5,6,810506,0.01,-109.56,-3.8,3.7,.,25.75,.
293,81,5,7,810507,0.01,-109.56,-2.6,1.7,.,25.35,.
294,81,5,8,810508,0.01,-109.56,-3.3,0.8,.,25.5,.
295,81,5,9,810509,0.01,-109.56,-3.4,1,.,25.48,.
296,81,5,10,810510,0.01,-109.56,-2.4,3.5,.,25.32,.
297,81,5,11,810511,0.01,-109.56,-4.3,4.1,.,25.43,.
298,81,5,12,810512,0.01,-109.56,-6.3,3.5,.,25.61,.
299,81,5,13,810513,0.01,-109.56,-5.7,3.2,.,25.51,.
300,81,5,14,810514,0.01,-109.56,-4.6,2.7,.,25.19,.
301,81,5,15,810515,0.01,-109.56,-3.7,3,.,25.19,.
302,81,5,16,810516,0.01,-109.56,-3.7,2.7,.,25.18,.
303,81,5,17,810517,0.01,-109.56,-5.6,3.7,.,25.47,.
304,81,5,18,810518,0.01,-109.56,-4.6,1.8,.,25.19,.
305,81,5,19,810519,0.01,-109.56,-4.5,1.9,.,25.08,.
306,81,5,20,810520,0.01,-109.56,-4.7,1.5,.,24.94,.
307,81,5,21,810521,0.01,-109.56,-2.5,2.7,.,24.97,.
308,81,5,22,810522,0.01,-109.56,-1.7,3.4,.,24.95,.
309,81,5,23,810523,0.01,-109.56,-4.1,3.4,.,24.9,.
310,81,5,24,810524,0.01,-109.56,-4.6,3.2,.,24.78,.
311,81,5,25,810525,0.01,-109.56,-4.8,3.2,.,24.86,.
312,81,5,26,810526,0.01,-109.56,-4.1,3.4,.,24.78,.
313,81,5,27,810527,0.01,-109.56,-4.1,5.6,.,24.71,.
314,81,5,28,810528,0.01,-109.56,-2.5,4.3,.,24.27,.
315,81,5,29,810529,0.01,-109.56,-2.8,3.4,.,23.94,.
316,81,5,30,810530,0.01,-109.56,-3,3.4,.,23.69,.
317,81,5,31,810531,0.01,-109.56,-2.4,2,.,23.7,.
318,81,6,1,810601,0.01,-109.56,-3.2,1.3,.,23.92,.
319,81,6,2,810602,0.01,-109.56,-3.9,0.1,.,23.71,.
320,81,6,3,810603,0.01,-109.56,-4.6,1.6,.,23.68,.
321,81,6,4,810604,0.01,-109.56,-3.6,2.4,.,23.72,.
322,81,6,5,810605,0.01,-109.56,-4.3,2.3,.,23.62,.
323,81,6,6,810606,0.01,-109.56,-3.6,1.8,.,23.47,.
324,81,6,7,810607,0.01,-109.56,-4.2,0.3,.,23.21,.
325,81,6,8,810608,0.01,-109.56,-3.8,1,.,23.2,.
326,81,6,9,810609,0.01,-109.56,-3.5,0.8,.,23.31,.
327,81,6,10,810610,0.01,-109.56,-3.7,0.8,.,23.46,.
328,81,6,11,810611,0.01,-109.56,-4.4,2,.,23.8,.
329,81,6,12,810612,0.01,-109.56,-4.1,0.8,.,23.91,.
330,81,6,13,810613,0.01,-109.56,-5.1,2,.,24.11,.
331,81,6,14,810614,0.01,-109.56,-4.8,1,.,23.9,.
332,81,6,15,810615,0.01,-109.56,-5,1.3,.,23.78,.
333,81,6,16,810616,0.01,-109.56,-3.7,2.2,.,23.9,.
334,81,6,17,810617,0.01,-109.56,-4.1,1.5,.,24.4,.
335,81,6,18,810618,0.01,-109.56,-4.9,3,.,24.99,.
336,81,6,19,810619,0.01,-109.56,-5.9,3.9,.,24.85,.
337,81,6,20,810620,0.01,-109.56,-6.9,3.6,.,24.87,.
338,81,6,21,810621,0.01,-109.56,-7.2,3.6,.,24.78,.
339,81,6,22,810622,0.01,-109.56,-7.2,3.5,.,24.71,.
340,81,6,23,810623,0.01,-109.56,-6.6,3.2,.,24.45,.
341,81,6,24,810624,0.01,-109.56,-4.7,3.3,.,24.38,.
342,81,6,25,810625,0.01,-109.56,-3.6,4.4,.,23.97,.
343,81,6,26,810626,0.01,-109.56,-2.6,4,.,23.67,.
344,81,6,27,810627,0.01,-109.56,-1.8,3.6,.,23.53,.
345,81,6,28,810628,0.01,-109.56,-1.7,3.8,.,23.51,.
346,81,6,29,810629,0.01,-109.56,-3,3.7,.,23.64,.
347,81,6,30,810630,0.01,-109.56,-3.9,2.8,.,23.78,.
348,81,7,1,810701,0.01,-109.56,-5.8,2,.,23.66,.
349,81,7,2,810702,0.01,-109.56,-5.6,1.7,.,23.42,.
350,81,7,3,810703,0.01,-109.56,-4.7,2.2,.,23.26,.
351,81,7,4,810704,0.01,-109.56,-3.9,2.3,.,23.24,.
352,81,7,5,810705,0.01,-109.56,-4.4,3.1,.,23.07,.
353,81,7,6,810706,0.01,-109.56,-4.7,3.1,.,23.36,.
354,81,7,7,810707,0.01,-109.56,-5.1,4.3,.,23.47,.
355,81,7,8,810708,0.01,-109.56,-4.9,4.3,.,23.59,.
356,81,7,9,810709,0.01,-109.56,-4,3.7,.,23.6,.
357,81,7,10,810710,0.01,-109.56,-3.8,3.1,.,23.83,.
358,81,7,11,810711,-0.04,-109.66,-5.1,2.8,.,23.74,.
359,81,7,12,810712,-0.04,-109.66,-4.9,2.7,.,23.31,23.86
360,81,7,13,810713,-0.04,-109.66,-4.1,1.6,.,23.2,23.59
361,81,7,14,810714,-0.04,-109.66,-4.5,4.2,.,23.07,23.55
362,81,7,15,810715,-0.04,-109.66,-5.5,2,.,23.04,23.83
363,81,7,16,810716,-0.04,-109.66,-5.3,1.4,.,22.82,23.45
364,81,7,17,810717,-0.04,-109.66,-4.6,1.5,.,22.57,22.63
365,81,7,18,810718,-0.04,-109.66,-1.9,0.6,.,22.56,22.41
366,81,7,19,810719,-0.04,-109.66,-3.7,0.2,.,22.62,22.51
367,81,7,20,810720,-0.04,-109.66,-4.3,1.1,.,22.5,22.39
368,81,7,21,810721,-0.04,-109.66,-5.6,1,.,22.35,22.35
369,81,7,22,810722,-0.04,-109.66,-5.1,1.2,.,22.35,22.6
370,81,7,23,810723,-0.04,-109.66,-5.1,1,.,22.51,22.88
371,81,7,24,810724,-0.04,-109.66,-4.8,1,.,22.56,22.87
372,81,7,25,810725,-0.04,-109.66,-5.1,1.5,.,22.09,22.33
373,81,7,26,810726,-0.04,-109.66,-5.5,2,.,21.75,21.68
374,81,7,27,810727,-0.04,-109.66,-4.8,1.5,.,21.49,21.54
